辞書に登録予定の単語	備考
gf	gttnの口語形  
twn	twanstnの口語形の現在分詞  
drāwrdn	現在のカテゴリーに存在していない  
pyr	形態素タグが元々lexファイルにも存在していないケースも多いようだ．しかし，何もないでは問題なので，何かかんがえないと  

辞書に登録済みの語	備考  
dndwn	N5:c  
šykm	N1:c  
šykar	N1:c  
lwne	N5:v  
xwne	N5:v  
zmstwn	N5:c  
embwne	N6  
palapal	N1:c  
bza	N5:v  
bzbza	N5:v  
āŕajan	N5:c  
dwne	N5:v  
danedane	N5:v  
barkalle	OHにinvとして追加  
awww	INTに追加  
barwn	N5:c  
xwšbaši	ADJとして登録  
slmany all	
ŕaym	形 直立の  
qrbyl	名詞　ふるい  
pltyky	名詞 詐欺  
yal	名詞　たてがみ  
ptpt	形容詞  
čydn	摘む　all v22が適切かと  	
rystn	動詞 all v11とv22の両方とも適切
kwbydn	動詞 たたく v1とv18が適切 
ţy	名詞　前進  
šdn	動詞 v23にも追加  
mħtawy	名詞 all
alaq	名詞 all 
